caldt,vwretd,ewretd,sprtrn,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19260810,-0.013932,-0.010122,,-0.021175,-0.006396,-0.009966,-0.010482,-0.014696,-0.010554,-0.010584,-0.009800,-0.010998,-0.016067
19260811,-0.005478,0.000108,,0.005818,0.001152,-0.003830,-0.006003,-0.000117,-0.000606,-0.009003,-0.001815,-0.007626,-0.005710
19260812,0.008540,0.002935,,-0.004396,-0.001123,0.000863,0.009176,0.002664,0.003873,0.003541,0.003558,0.009225,0.010285
19260813,0.005784,0.000348,,-0.009131,0.000445,-0.002301,-0.002083,0.002216,0.000241,0.000542,0.003247,-0.000201,0.009267
19260814,0.006816,0.005657,,0.007357,-0.001296,0.006390,0.003281,0.009241,0.002182,0.006770,0.005457,0.007137,0.007243
19260816,0.000951,0.004558,,0.009706,0.004555,0.008134,0.009210,0.002147,0.006871,0.000904,0.000655,0.000487,0.000374
19260817,-0.009347,-0.006866,,-0.001509,-0.002399,-0.003721,-0.010705,-0.010960,-0.003256,-0.007782,-0.004997,-0.009553,-0.010496
19260818,0.002750,0.002526,,-0.003065,0.000522,0.001429,0.002551,0.007441,-0.002279,0.001090,0.002528,0.005249,0.002332
19260819,-0.005926,-0.004639,,-0.008063,-0.006965,0.000740,-0.005627,-0.008269,0.000070,-0.004426,-0.004034,-0.005806,-0.006687
19260820,-0.001728,-0.001743,,-0.007660,0.000157,-0.006800,-0.007058,-0.002792,-0.004721,-0.001797,-0.003013,-0.000224,-0.001532
19260821,0.003406,0.004894,,0.004681,0.003021,0.003415,0.002748,0.008718,0.005558,0.005046,0.004864,0.001655,0.003263
